armenian,translations
ԱԽՈՐԺԱՀՈՏՈՒԹՅՈՒՆ,"аромат, благоухание;книжн"
ԱԽՈՐԺԱՁԱՅՆ,"певучий, мелодичный, благозвучный, сладкозвучный"
ԱԽՈՐԺԵԼԻ,"аппетитный, вкусный;приятный"
ԱԽՈՒՎԱԽ,"ахи, охи, аханье, оханье"
ԱԽՈՒՎԻՇ,"ахи, охи, аханье, оханье"
ԱԽՊԵՐԱՆԱԼ,"брататься, побрататься, сдружиться"
ԱԽՊԵՐԱՎԱՐԻ,"по-братски, по-дружески"
ԱԽՊԵՐԱՑՆԵԼ,подружить;кого-либо с кем-либо
ԱԽՊԵՐԱՑՈՒ,"побратим, названый брат"
ԱԽՊԵՐԻԿ,братик
ԱԽՊԵՐՈՒԹՅՈՒՆ,братство
ԱԽՏ,болезнь;порок;порочная страсть
ԱԽՏԱԲԱՆ,патолог
ԱԽՏԱԲԱՆԱԿԱՆ,патологический;патологические явления
ԱԽՏԱԲԱՆՈՐԵՆ,патологически
ԱԽՏԱԲԱՆՈՒԹՅՈՒՆ,патология
ԱԽՏԱԲԵԿ,изнурённый болезнью
ԱԽՏԱԲԵՐ,болезнетворный;заразный
ԱԽՏԱԲՈՐԲՈՔ,"возбуждающий пороки, страсти;чрезмерно возбуждённый"
ԱԽՏԱԶԵՐԾ,обеззараженный
ԱԽՏԱԾԻՆ,"болезнетворный, патогенный;патогенные микробы"
ԱԽՏԱԾՆՈՒԹՅՈՒՆ,патогенез
ԱԽՏԱԿԱՆԽԻՉ,профилактический;профилактическое мероприятие
ԱԽՏԱԿԱՆԽՈՒՄ,профилактика
ԱԽՏԱԿԻՐ,заразный;порочный
ԱԽՏԱՀԱՆ,дезинфицирующий;дезинфектор
ԱԽՏԱՀԱՆԵԼ,"дезинфицировать, обеззараживать, обеззаразить"
ԱԽՏԱՀԱՆԻՉ,"дезинфицирующий, дезинфекционный, обеззараживающий;дезинфектор"
ԱԽՏԱՀԱՆՈՒԹՅՈՒՆ,"дезинфекция, дезинфицирование"
ԱԽՏԱՀԱՆՈՒՄ,"дезинфекция, дезинфицирование"
ԱԽՏԱՀԱՆՎԵԼ,"дезинфицироваться, обеззараживаться"
ԱԽՏԱՀԱՐ,"заражённый, инфицированный, поражённый инфекцией"
ԱԽՏԱՀԱՐԵԼ,"заражать, заразить, инфицировать"
ԱԽՏԱՀԱՐՈՒԹՅՈՒՆ,заражение
ԱԽՏԱՀԱՐՈՒՄ,заражение
ԱԽՏԱՀԱՐՈՒՅՑ,болезнетворный
ԱԽՏԱՀԱՐՎԵԼ,"заражаться, заразиться"
ԱԽՏԱՃԱՆԱՉՈՒԹՅՈՒՆ,заражение
ԱԽՏԱՃԱՆԱՉՈՒՄ,заражение
ԱԽՏԱՄՈԼ,"порочный, развратный, безнравственный"
ԱԽՏԱՄՈԼՈՒԹՅՈՒՆ,"порочность, разврат, безнравственность"
ԱԽՏԱՆԻՇ,симптом болезни
ԱԽՏԱՆԻՇԱՅԻՆ,являющийся внешним признаком болезни
ԱԽՏԱՎՈՐ,больной;порочный
ԱԽՏԱՎՈՐՈՒԹՅՈՒՆ,болезненность;порочность
ԱԽՏԱՐՔ,"астролог, звездочёт;книга для гадания"
ԱԽՏԱՓՈԽՈՒԹՅՈՒՆ,заражение
ԱԽՏՈՐՈՇ,диагностический
ԱԽՏՈՐՈՇԱԳԻՏՈՒԹՅՈՒՆ,диагностика
ԱԽՏՈՐՈՇԵԼ,диагностировать
ԱԽՏՈՐՈՇՈՒՄ,диагноз
ԱԽՏՈՐՈՇՎԵԼ,диагностироваться
ԱԽՐ,"ведь, же, да;что же мне писать"
ԱԾ,"носка, кладка яиц"
ԱԾԱԿԱՆ,прилагательное
ԱԾԱԿԱՆԱԿԱՆ,адъективный
ԱԾԱԿԱՆԱՑՈՒՄ,"адъективация, адъективизация, адъективирование"
ԱԾԱՆ,яйценоский
ԱԾԱՆՑ,аффикс;производное слово
ԱԾԱՆՑԱԲԱՐ,в качестве аффикса
ԱԾԱՆՑԱՎՈՐ,производный
ԱԾԱՆՑՅԱԼ,производная
ԱԾԱՆՑՈՒՄ,аффиксация;дифференцирование
ԱԾԵԼ,"класть, нести яйца;сыпать, насыпать, насыпать;играть, сыграть"
ԱԾԵԼԻ,бритва
ԱԾԵՐ,"молодой, недавно заложенный сад"
ԱԾԻԼԵԼ,"брить, побрить, сбривать, сбрить"
ԱԾԻԼՎԵԼ,"бриться, побриться"
ԱԾԻԿ,солод;солодовый
ԱԾԻԿԱՅԻՆ,солодовый
ԱԾԻԿԱՆԱԼ,"солодеть, осолодеть;зерно осолодело"
ԱԾԻԿԱՆՈՑ,"солодовня, солодильня"
ԱԾԻԿԱՐԱՆ,"солодовня, солодильня"
ԱԾԻԿԱՑՆԵԼ,"солодить, осолодить;солодить ячмень"
ԱԾԻԿԱՑՈՒՄ,"соложение, осолаживание"
ԱԾԻԿԱՑՎԵԼ,"солодиться, осолаживаться, осолодиться"
ԱԾԽԱԲԵՐ,угленосный
ԱԾԽԱԳԱԶ,угарный газ
ԱԾԽԱԳՈՐԾ,"углежог, угольщик;шахтёр"
ԱԾԽԱԳՈՐԾԱՆՈՑ,угольная яма
ԱԾԽԱԳՈՐԾՈՒԹՅՈՒՆ,углежжение
ԱԾԽԱԳՈՒՅՆ,"чёрный, как уголь"
ԱԾԽԱԴԵՄ,"темнолицый, черномазый"
ԱԾԽԱԹԹՈՒ,углекислота
ԱԾԽԱԹԹՎԱԿԱՆ,углекислый
ԱԾԽԱԹԹՎԱՅԻՆ,углекислый
ԱԾԽԱԾԻՆ,углерод
ԱԾԽԱԾՆԱՅԻՆ,углеродный;углеродистый
ԱԾԽԱԿՈԹ,головешка
ԱԾԽԱԿՈՒՅՏ,угольная куча
ԱԾԽԱՀԱՆ,угледобывающий
ԱԾԽԱՀԱՆՈՒԹՅՈՒՆ,"угледобыча, добывание угля"
ԱԾԽԱՀԱՆՈՒՄ,"угледобыча, добывание угля"
ԱԾԽԱՀԱՆՈՒՅԹ,обытый уголь
ԱԾԽԱՀԱՆՔ,угольные копи
ԱԾԽԱՀԱՆՔԱՀՈՐ,угольная шахта
ԱԾԽԱՀԱՏ,"шахтёр, углекоп"
ԱԾԽԱՀԱՏԱՅԻՆ,шахтёрский
ԱԾԽԱՀՈՏ,"угар, запах угара"
ԱԾԽԱՀՈՐ,угольная яма
ԱԾԽԱՄԲԱՐՁԻՉ,углеподъёмный;углеподъёмник
ԱԾԽԱՅԻՆ,угольный
ԱԾԽԱՆԱԼ,"обугливаться, обуглиться"
ԱԾԽԱՆԱՎ,углевоз
ԱԾԽԱՆԿԱՐ,рисунок углем
ԱԾԽԱՆԿԱՐԵԼ,рисовать углем
ԱԾԽԱՆԿԱՐՉՈՒԹՅՈՒՆ,рисование углем
ԱԾԽԱՆՄԱՆ,"похожий на уголь, подобный углю"
ԱԾԽԱՆՈՑ,"угольный сарай, склад угля"
ԱԾԽԱՇԵՐՏ,угольный пласт
ԱԾԽԱՋՈՒՐ,углеводы;редко;углевод
ԱԾԽԱՋՐԱԾԻՆ,углеводород
ԱԾԽԱՋՐԱԾՆԱՅԻՆ,углеводородный
ԱԾԽԱՎԱԶԱՆ,угольный бассейн
ԱԾԽԱՎԱՃԱՌ,"угольщик, торговец углем, продавец угля"
ԱԾԽԱՎԱՃԱՌՈՒԹՅՈՒՆ,"торговля углем, продажа угля"
ԱԾԽԱՐԴՅՈՒՆԱԲԵՐՈՂ,углепромышленник
ԱԾԽԱՐԴՅՈՒՆԱԲԵՐՈՒԹՅՈՒՆ,углепромышленность
ԱԾԽԱՑՆԵԼ,"обугливать, обуглять"
ԱԾԽԱՑՈՒՄ,обугливание
ԱԾԽԱՓՈՇԻ,угольная пыль
ԱԾԽԱՔԱՐ,антрацит
ԱԾԽՈՏ,"испачканный, измазанный углем"
ԱԾԽՈՏԵԼ,"испачкать, измазать углем"
ԱԾԽՈՏՎԵԼ,"испачкаться, измазаться углем"
ԱԾՈՎԻ,разливной
ԱԾՈՒ,грядка
ԱԾՈՒԽ,уголь
ԱԾՎԵԼ,"наливаться, налиться;насыпаться, насыпаться"
ԱԿ,засыпать небольшим количеством крупы
ԱԿԱԴԵՄԻԱ,академия
ԱԿԱԴԵՄԻԱԿԱՆ,академический;академичный
ԱԿԱԴԵՄԻԿՈՍ,академик
ԱԿԱՄԱ,"принуждённый, вынужденный;невольный, непроизвольный;нехотя, поневоле;невольно, непроизвольно"
ԱԿԱՄԱՅԻՑ,"поневоле, невольно"
ԱԿԱՆ,"целиком, полностью"
ԱԿԱՆԱԴԱՇՏ,минное поле
ԱԿԱՆԱԴԻՐ,минёр
ԱԿԱՆԱԶԵՐԾ,разминированный
ԱԿԱՆԱԶԵՐԾԵԼ,"разминировать;тралить;воен., мор"
ԱԿԱՆԱԶԵՐԾՈՒՄ,"разминирование;траление;воен., мор"
ԱԿԱՆԱԶԵՐԾՎԵԼ,разминироваться
ԱԿԱՆԱԶՈՐ,минёрное подразделение
ԱԿԱՆԱԿԻՏ,"прозрачный, чистый, кристальный;блестящий, сверкающий, переливающийся"
ԱԿԱՆԱԿԻՐ,"кромешный, непроглядный"
ԱԿԱՆԱԿՈՒՌ,"украшенный каменьями, драгоценными камнями"
ԱԿԱՆԱՀԱՆ,тральщик
ԱԿԱՆԱՀԱՎԱՔ,траловый
ԱԿԱՆԱՀԱՏ,"минёр, обезвреживающий мины"
ԱԿԱՆԱՀԱՏԵԼ,"разминировать, обезвреживать мины"
ԱԿԱՆԱՀԱՏՈՒԹՅՈՒՆ,"разминирование, обезвреживание мин"
ԱԿԱՆԱՁԻԳ,миномётчик
ԱԿԱՆԱՅԻՆ,минный
ԱԿԱՆԱՆԱՎ,миноносец
ԱԿԱՆԱՆԵՏ,миномёт
ԱԿԱՆԱՆԵՏԱՅԻՆ,миномётный
ԱԿԱՆԱՇԱՐ,"унизанный каменьями, драгоценными камнями"
ԱԿԱՆԱՊԱՏ,"минированный, заминированный;заминированное поле"
ԱԿԱՆԱՊԱՏԵԼ,минировать;заминировать мост
ԱԿԱՆԱՊԱՏՈՒՄ,минирование
ԱԿԱՆԱՊԱՏՎԵԼ,минироваться
ԱԿԱՆԱՎՈՐ,"выдающийся, знаменитый"
ԱԿԱՆԱՏ,"ловушка, силок, западня"
ԱԿԱՆԱՏԵՍ,"очевидец, свидетель"
ԱԿԱՆԱՓԱԿՈՑ,минное заграждение
ԱԿԱՆԵԼ,"минировать, заминировать;разминировать"
ԱԿԱՆԹ,"акант, аканф"
ԱԿԱՆՈՐԴ,минёр
ԱԿԱՆՈՐՍ,миноискатель;сапёр;тральщик;траловый
ԱԿԱՆՈՑ,леток;втулка
ԱԿԱՆՈՒՄ,минирование
ԱԿԱՆՋ,"ухо;наушник, доносчик, осведомитель;ухо, ушко;ушко;печенье"
ԱԿԱՆՋԱԲԱՆ,отолог
ԱԿԱՆՋԱԲԼԹԱԿ,мочка
ԱԿԱՆՋԱԲՈՐԲ,воспаление уха
ԱԿԱՆՋԱԲՈՒԺՈՒՄ,лечение уха
ԱԿԱՆՋԱԳԵՋ,ушная сера
ԱԿԱՆՋԱԳԻՆԴ,серьга
ԱԿԱՆՋԱԴԻՏԱԿ,отоскоп;спец;ушное зеркало
ԱԿԱՆՋԱԽԵՑԻ,ушная раковина
ԱԿԱՆՋԱԽԽՈՒՆՋ,улитка
ԱԿԱՆՋԱԽՏ,"отодиния, ушная болезнь"
ԱԿԱՆՋԱԿԱԼ,"ухо, наушник"
ԱԿԱՆՋԱԿԱՆԹ,звон в ушах
ԱԿԱՆՋԱԿԵՂՏ,ушная сера
ԱԿԱՆՋԱԿՈԹ,"корень уха, основание ушной раковины"
ԱԿԱՆՋԱԿՈՆՔ,впадина в ушной раковине
ԱԿԱՆՋԱՁԵՎ,"похожий на ухо, напоминающий ухо"
ԱԿԱՆՋԱՄՈՒՏ,уховёртка
ԱԿԱՆՋԱՄՏՈՒԿ,уховёртка
ԱԿԱՆՋԱՅԻՆ,ушной
ԱԿԱՆՋԱՎՈՐ,имеющий уши;ушастый
ԱԿԱՆՋԱՏ,корноухий
ԱԿԱՆՋԱՑԱՎ,"отодиния, ушная болезнь"
ԱԿԱՆՋԱՓՈՂ,слуховой проход
ԱԿԱՆՋԱՓՈՐԻԿ,ухочистка
ԱԿԱՆՋԲՌՆՈՒԿ,"награда, подарок за добрую весть"
ԱԿԱՆՋԵԼ,"прислушиваться, прислушаться;подслушивать, подслушать"
ԱԿԱՆՋԵՂ,"ушастый, ушатый"
ԱԿԱՆՋԻԿ,шко;и ушко
ԱԿԱՆՋՄՏՈՒԿ,уховёртка
ԱԿԱՆՋՈՎ,"послушный, кроткий, смирный"
ԱԿԱՆՋՕՂ,серьга
ԱԿԱՆՎԵԼ,минироваться
ԱԿԱՑԻԱ,акация
ԱԿԻՇ,скребок;кочерга
ԱԿՆ,"камень, драгоценный камень"
ԱԿՆԱԲԱՆԱԿԱՆ,"офтальмологический, относящийся к офтальмологии"
ԱԿՆԱԲՅՈՒՐԵՂ,хрусталик
ԱԿՆԱԲՈՒԺԱԿԱՆ,офтальмологический;глазная больница
ԱԿՆԱԲՈՒԺԱՐԱՆ,"глазная лечебница, больница"
ԱԿՆԱԲՈՒԺՈՒԹՅՈՒՆ,лечение глаз
ԱԿՆԱԲՈՒՆ,уховёртка
ԱԿՆԱԳՈՐԾ,ювелир
ԱԿՆԱԳՈՐԾԱԿԱՆ,ювелирный
ԱԿՆԱԳՈՐԾՈՒԹՅՈՒՆ,ювелирное дело
ԱԿՆԱԶԱՐԴ,"украшенный каменьями, драгоценными камнями"
ԱԿՆԱԶԱՐԴԵԼ,"украшать каменьями, драгоценными камнями"
ԱԿՆԱԶՈԴ,коньюктива
ԱԿՆԱԹԱՂԱՆԹ,коньюктива
ԱԿՆԱԽՆՁՈՐ,глазное яблоко
ԱԿՆԱԽՏԻՂ,"сверкающий, ослепительный, слепящий;яркий, сверкающий, красочный"
ԱԿՆԱԽՏԻՏ,"сверкающий, ослепительный, слепящий;яркий, сверкающий, красочный"
ԱԿՆԱԾԱԼԻ,"почтительный, благоговейный"
ԱԿՆԱԾԱԼԻՑ,"почтительный, благоговейный"
ԱԿՆԱԾԱԿԱՆ,"почтительный, благоговейный"
ԱԿՆԱԾԱՆՔ,"почтение, почтительность, благоговение"
ԱԿՆԱԾԵԼ,"благоговеть, почитать"
ԱԿՆԱԾԵԼԻ,"почтенный, респектабельный"
ԱԿՆԱԾԻԱԾԱՆ,радужная оболочка;глаза;радужка
ԱԿՆԱԾՈՒ,почтительно
ԱԿՆԱԾՈՒԹՅՈՒՆ,"почтение, почтительность, благоговение"
ԱԿՆԱԿԱՊԻՃ,"глазница, глазная орбита"
ԱԿՆԱՀԱՃՈ,"приятный для глаз, привлекательный"
ԱԿՆԱՂԲՅՈՒՐ,"ключ, источник, родник"
ԱԿՆԱՄՈՄ,"прополис, пчелиный клей"
ԱԿՆԱՅԻՆ,глазной
ԱԿՆԱՆՅԱՐԴ,глазной нерв
ԱԿՆԱՊԱՆԱԿ,"наглазник, наглазный щиток;шоры, наглазники"
ԱԿՆԱՊԱՏԻՐ,"иллюзорный, обманчивый"
ԱԿՆԱՊԻՇ,"пристальный, сосредоточенный;пристально, сосредоточенно"
ԱԿՆԱՌՈՒ,"примечательный, значительный, видный, привлекающий внимание;значительные дела"
ԱԿՆԱՎԱՃԱՌ,ювелир
ԱԿՆԱՎԱՃԱՌՈՒԹՅՈՒՆ,торговля драгоценными камнями
ԱԿՆԱՎՃԻՏ,прозрачная вода
ԱԿՆԱՐԿ,беглый взгляд;намёк;обзор
ԱԿՆԱՐԿԱԳԻՐ,очеркист
ԱԿՆԱՐԿԱՅԻՆ,очерковый;очерковая литература
ԱԿՆԱՐԿԱՇԱՐ,серия очерков
ԱԿՆԱՐԿԵԼ,"намекать, намекнуть"
ԱԿՆԱՐԿՈՒԹՅՈՒՆ,намёк
ԱԿՆԱՔԱՐ,"камень, драгоценный камень"
ԱԿՆԲԱԽ,"явно, очевидно"
ԱԿՆԴԵՏ,"пристально;нетерпеливо, с нетерпением"
ԱԿՆԵՂԵՆ,"каменья, драгоценные камни"
ԱԿՆԵՐԵՎ,"явный, очевидный;явно, очевидно"
ԱԿՆԵՐԵՎԱԲԱՐ,"явно, очевидно"
ԱԿՆԵՐԵՎԱՊԵՍ,"явно, очевидно"
ԱԿՆԵՐԵՎՈՐԵՆ,"явно, очевидно"
ԱԿՆԵՐԵՎՈՒԹՅՈՒՆ,очевидность
ԱԿՆԹԱՐԹ,"мгновение, миг"
ԱԿՆԹԱՐԹԱՅԻՆ,мгновенный
ԱԿՆԹԱՐԹՈՐԵՆ,"мгновенно, вмиг"
ԱԿՆԻԿ,глазунья
ԱԿՆԿԱԼԵԼ,"ожидать, надеяться, чаять;устар. и прост"
ԱԿՆԿԱԼԻՔ,"ожидание, чаяния"
ԱԿՆԿԱԼՈՒԹՅՈՒՆ,"ожидание, чаяния;книжн"
ԱԿՆԿԱԼՈՒՄ,"ожидание, чаяния;книжн"
ԱԿՆԿՈՐ,опустив глаза;понурив голову
ԱԿՆՀԱՅՏ,"очевидный, явный;очевидно, явно"
ԱԿՆՀԱՅՏՈՐԵՆ,"очевидно, явно"
ԱԿՆՀԱՅՏՈՒԹՅՈՒՆ,очевидность
ԱԿՆՈՑ,очки
ԱԿՆՈՑԱԳՈՐԾ,оптик
ԱԿՆՈՑԱՊԱԿԻ,очковое стекло
